Question1,CA1,IA1-1,IA2-1,IA3-1,IA4-1,FeedBack1
Question2,CA2,IA1-2,IA2-2,IA3-2,IA4-2,FeedBack2
Question3,CA3,IA1-3,IA2-3,IA3-3,IA4-3,FeedBack3
Question4,CA4,IA1-4,IA2-4,IA3-4,IA4-4,FeedBack4
Question5,CA5,IA1-5,IA2-5,IA3-5,IA4-5,FeedBack5
Question6,CA6,IA1-6,IA2-6,IA3-6,IA4-6,FeedBack6
Question7,CA7,IA1-7,IA2-7,IA3-7,IA4-7,FeedBack7
Question8,CA8,IA1-8,IA2-8,IA3-8,IA4-8,FeedBack8
Question9,CA9,IA1-9,IA2-9,IA3-9,IA4-9,FeedBack9
Question10,CA10,IA1-10,IA2-10,IA3-10,IA4-10,FeedBack10
Question11,CA11,IA1-11,IA2-11,IA3-11,IA4-11,FeedBack11
Question12,CA12,IA1-12,IA2-12,IA3-12,IA4-12,FeedBack12
StudentID,Student Score,,,,,
c0001,75,,,,,
c1001,74,,,,,
c0077,73,,,,,
c9090,72,,,,,
c8737,71,,,,,
c9898,70,,,,,
c1234,69,,,,,
c7676,68,,,,,
c7766,67,,,,,
c0002,66,,,,,
c0003,65,,,,,
c0004,64,,,,,
c0005,63,,,,,
c0006,62,,,,,
c0007,61,,,,,
c0008,60,,,,,
c0009,59,,,,,
c0010,58,,,,,
c0011,57,,,,,
c0012,56,,,,,
c0013,55,,,,,
c0014,54,,,,,
c0015,53,,,,,
c0016,52,,,,,
c0017,51,,,,,
c0018,50,,,,,
c0019,49,,,,,
c0020,48,,,,,
c0021,47,,,,,
c0022,46,,,,,
c0023,45,,,,,
c0024,44,,,,,
c0025,43,,,,,
c0026,42,,,,,
c0027,41,,,,,
c0028,40,,,,,
c0029,39,,,,,
c0030,38,,,,,
c0031,37,,,,,
c0032,36,,,,,
c0033,35,,,,,
c0034,34,,,,,
c0035,33,,,,,
c0036,32,,,,,
c0037,31,,,,,
c0038,30,,,,,
c0039,29,,,,,
c0040,28,,,,,
c0041,27,,,,,
c0042,26,,,,,
c0043,25,,,,,
c0044,24,,,,,
c0045,23,,,,,
c0046,22,,,,,
c0047,21,,,,,
c0048,20,,,,,
c0049,19,,,,,
c0050,18,,,,,
c0051,17,,,,,
c0052,16,,,,,
c0053,15,,,,,
c0054,14,,,,,
c0055,13,,,,,
c0056,12,,,,,
c0057,11,,,,,
c0058,10,,,,,
c0059,9,,,,,
c0060,8,,,,,
c0061,7,,,,,
c0062,6,,,,,
c0063,5,,,,,
c0064,4,,,,,
c0065,3,,,,,
c0066,2,,,,,
c0067,1,,,,,
