Question1,CA1,IA1-1,IA2-1,IA3-1,IA4-1,FeedBack1
Question2,CA2,IA1-2,IA2-2,IA3-2,IA4-2,FeedBack2
Question3,CA3,IA1-3,IA2-3,IA3-3,IA4-3,FeedBack3
Question4,CA4,IA1-4,IA2-4,IA3-4,IA4-4,FeedBack4
Question5,CA5,IA1-5,IA2-5,IA3-5,IA4-5,FeedBack5
Question6,CA6,IA1-6,IA2-6,IA3-6,IA4-6,FeedBack6
Question7,CA7,IA1-7,IA2-7,IA3-7,IA4-7,FeedBack7
Question8,CA8,IA1-8,IA2-8,IA3-8,IA4-8,FeedBack8
Question9,CA9,IA1-9,IA2-9,IA3-9,IA4-9,FeedBack9
Question10,CA10,IA1-10,IA2-10,IA3-10,IA4-10,FeedBack10
Question11,CA11,IA1-11,IA2-11,IA3-11,IA4-11,FeedBack11
Question12,CA12,IA1-12,IA2-12,IA3-12,IA4-12,FeedBack12
StudentID,Student Score,,,,,
1,75,,,,,
2,74,,,,,
3,73,,,,,
4,72,,,,,
5,71,,,,,
6,70,,,,,
7,69,,,,,
8,68,,,,,
9,67,,,,,
10,66,,,,,
11,65,,,,,
12,64,,,,,
13,63,,,,,
14,62,,,,,
15,61,,,,,
16,60,,,,,
17,59,,,,,
18,58,,,,,
19,57,,,,,
20,56,,,,,
21,55,,,,,
22,54,,,,,
23,53,,,,,
24,52,,,,,
25,51,,,,,
26,50,,,,,
27,49,,,,,
28,48,,,,,
29,47,,,,,
30,46,,,,,
31,45,,,,,
32,44,,,,,
33,43,,,,,
34,42,,,,,
35,41,,,,,
36,40,,,,,
37,39,,,,,
38,38,,,,,
39,37,,,,,
40,36,,,,,
41,35,,,,,
42,34,,,,,
43,33,,,,,
44,32,,,,,
45,31,,,,,
46,30,,,,,
47,29,,,,,
48,28,,,,,
49,27,,,,,
50,26,,,,,
51,25,,,,,
52,24,,,,,
53,23,,,,,
54,22,,,,,
55,21,,,,,
56,20,,,,,
57,19,,,,,
58,18,,,,,
59,17,,,,,
60,16,,,,,
61,15,,,,,
62,14,,,,,
63,13,,,,,
64,12,,,,,
65,11,,,,,
66,10,,,,,
67,9,,,,,
68,8,,,,,
69,7,,,,,
70,6,,,,,
71,5,,,,,
72,4,,,,,
73,3,,,,,
74,2,,,,,
75,1,,,,,
